Symbol,Name,Last_Sale,Start_of_Year_Sale,YTD_Change_Percent,Sector
A,"Agilent Technologies, Inc.",65.86,67.3224,-2.2204676586699095,Capital Goods
AA,Alcoa Corporation,20.15,26.58,-31.910669975186106,Basic Industries
AAC,"AAC Holdings, Inc.",0.75,1.4,-86.66666666666666,Health Care
AAN,"Aaron&#39;s,  Inc.",61.56,42.0215,31.738953866146847,Technology
AAP,Advance Auto Parts Inc,143.16,157.4024,-9.948588991338365,Consumer Services
AAT,"American Assets Trust, Inc.",45.58,39.6779,12.948881088196574,Consumer Services
AB,AllianceBernstein Holding L.P.,27.03,26.3019,2.693673695893456,Finance
ABB,ABB Ltd,18.05,18.2678,-1.2066481994459857,Consumer Durables
ABBV,AbbVie Inc.,65.23,89.8813,-37.791353671623476,Health Care
ABC,AmerisourceBergen Corporation (Holding Co),88.7,73.674,16.940248027057493,Health Care
ABEV,Ambev S.A.,5.09,3.92,22.98624754420432,Consumer Non-Durables
ABG,Asbury Automotive Group Inc,91.17,66.66,26.883843369529455,Consumer Durables
ABM,ABM Industries Incorporated,39.5,31.7762,19.55392405063291,Finance
ABR,Arbor Realty Trust,12.3,9.6553,21.501626016260165,Consumer Services
ABT,Abbott Laboratories,83.16,71.7027,13.777417027417032,Health Care
AC,"Associated Capital Group, Inc.",35.77,35.23,1.5096449538719772,Finance
ACC,American Campus Communities Inc,46.0,40.5584,11.829565217391307,Consumer Services
ACCO,Acco Brands Corporation,9.54,6.6836,29.941299790356386,Consumer Durables
ACH,Aluminum Corporation of China Limited,7.31,7.82,-6.976744186046521,Basic Industries
ACM,AECOM,33.44,26.5,20.753588516746408,Consumer Services
ACN,Accenture plc,185.55,139.8516,24.628617623282146,Miscellaneous
ACRE,Ares Commercial Real Estate Corporation,14.92,12.7609,14.471179624664881,Consumer Services
ADC,Agree Realty Corporation,67.29,58.6511,12.838311784812017,Consumer Services
ADM,Archer-Daniels-Midland Company,37.78,40.281,-6.619904711487553,Consumer Non-Durables
ADNT,Adient plc,19.3,15.06,21.968911917098445,Capital Goods
ADS,Alliance Data Systems Corporation,152.13,148.9069,2.11864852428843,Miscellaneous
ADSW,"Advanced Disposal Services, Inc.",32.41,23.94,26.133909287257005,Public Utilities
ADT,ADT Inc.,5.61,5.9432,-5.939393939393934,Consumer Services
AEB,Aegon NV,23.75,18.84,20.673684210526318,Finance
AEE,Ameren Corporation,75.05,64.3976,14.193737508327784,Public Utilities
AEG,Aegon NV,4.37,4.4874,-2.686498855835239,Finance
AEH,Aegon NV,26.12,25.16,3.6753445635528363,Finance
AEL,American Equity Investment Life Holding Company,22.3,27.94,-25.291479820627806,Finance
AEM,Agnico Eagle Mines Limited,56.24,40.1592,28.593172119487914,Basic Industries
AEO,"American Eagle Outfitters, Inc.",15.85,19.2095,-21.195583596214504,Consumer Services
AEP,"American Electric Power Company, Inc.",88.02,73.5148,16.479436491706434,Public Utilities
AER,Aercap Holdings N.V.,51.75,39.6,23.478260869565215,Technology
AES,The AES Corporation,16.32,14.2252,12.835784313725496,Basic Industries
AFG,"American Financial Group, Inc.",97.88,88.4304,9.654270535349397,Finance
AFI,"Armstrong Flooring, Inc.",7.27,11.84,-62.861072902338385,Consumer Non-Durables
AFL,Aflac Incorporated,51.36,45.0759,12.235397196261687,Finance
AG,First Majestic Silver Corp.,10.02,5.89,41.21756487025948,Basic Industries
AGCO,AGCO Corporation,69.87,55.4151,20.68827823100043,Capital Goods
AGI,Alamos Gold Inc.,7.64,3.5932,52.96858638743455,Basic Industries
AGM,Federal Agricultural Mortgage Corporation,76.74,59.8957,21.94983059682043,Finance
AGN,Allergan plc.,160.63,132.2532,17.66594035983316,Health Care
AGO,Assured Guaranty Ltd.,41.91,37.9616,9.421140539250775,Finance
AGR,"Avangrid, Inc.",49.22,49.2129,0.01442503047541897,Public Utilities
AGRO,Adecoagro S.A.,6.68,6.96,-4.19161676646707,Consumer Non-Durables
AGS,"PlayAGS, Inc.",17.91,23.0,-28.419877163595757,Consumer Durables
AGX,"Argan, Inc.",38.36,37.4206,2.448905109489049,Basic Industries
AHC,A.H. Belo Corporation,3.45,3.2389,6.118840579710146,Consumer Services
AHH,"Armada Hoffler Properties, Inc.",16.65,13.8671,16.714114114114103,Finance
AHT,Ashford Hospitality Trust Inc,2.75,3.9032,-41.93454545454545,Consumer Services
AI,Arlington Asset Investment Corp,6.18,6.9121,-11.846278317152104,Consumer Services
AIG,"American International Group, Inc.",52.81,39.122,25.91933345957205,Finance
AIN,Albany International Corporation,81.47,62.1178,23.753774395482996,Basic Industries
AIR,AAR Corp.,39.46,37.1819,5.773188038520026,Capital Goods
AIT,"Applied Industrial Technologies, Inc.",55.82,53.3486,4.427445360085995,Consumer Durables
AIV,Apartment Investment and Management Company,48.79,43.164,11.531051444968227,Consumer Services
AIW,Arlington Asset Investment Corp,24.3,23.4446,3.520164609053496,Consumer Services
AIZ,"Assurant, Inc.",108.14,88.3611,18.290086924357322,Finance
AIZP,"Assurant, Inc.",113.7534,95.243,16.272392737272032,Finance
AJG,Arthur J. Gallagher & Co.,86.45,72.9472,15.619201850780806,Finance
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",48.32,35.23,27.09023178807948,Capital Goods
AJX,Great Ajax Corp.,13.69,11.4586,16.29948867786705,Consumer Services
AJXA,Great Ajax Corp.,25.5,23.84,6.509803921568628,Consumer Services
AKR,Acadia Realty Trust,26.97,23.5181,12.799035965888017,Consumer Services
AKS,AK Steel Holding Corporation,2.68,2.25,16.04477611940299,Basic Industries
AL,Air Lease Corporation,38.36,29.9874,21.82638164754953,Technology
ALB,Albemarle Corporation,65.41,76.7415,-17.323803699740107,Basic Industries
ALE,"Allete, Inc.",85.0,75.1043,11.642000000000007,Public Utilities
ALEX,"Alexander & Baldwin, Inc.",22.91,18.1353,20.841117415975553,Consumer Services
ALG,"Alamo Group, Inc.",107.33,77.1139,28.15252026460449,Capital Goods
ALK,"Alaska Air Group, Inc.",61.52,60.1905,2.161085825747729,Transportation
ALL,Allstate Corporation (The),101.78,81.7638,19.666142660640595,Finance
ALLE,Allegion plc,99.68,79.4699,20.27497993579455,Consumer Services
ALLY,Ally Financial Inc.,30.76,22.3884,27.215864759427827,Finance
ALSN,"Allison Transmission Holdings, Inc.",43.79,43.6312,0.3626398721169203,Capital Goods
ALV,"Autoliv, Inc.",67.5,69.0611,-2.312740740740735,Capital Goods
ALX,"Alexander&#39;s, Inc.",354.35,296.9234,16.206180330182026,Consumer Services
AM,Antero Midstream Corporation,7.91,20.5322,-159.5726927939317,Public Utilities
AMC,"AMC Entertainment Holdings, Inc.",11.1,11.8956,-7.167567567567571,Consumer Services
AME,"AMTEK, Inc.",84.08,67.5832,19.620361560418644,Consumer Durables
AMG,"Affiliated Managers Group, Inc.",78.99,96.806,-22.554753766299537,Finance
AMH,American Homes 4 Rent,23.99,19.8062,17.43976656940391,Consumer Services
AMN,AMN Healthcare Services Inc,49.92,56.66,-13.501602564102551,Technology
AMOV,"America Movil, S.A.B. de C.V.",13.04,14.054,-7.776073619631911,Public Utilities
AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",130.45,102.9641,21.070065159064768,Finance
AMRC,"Ameresco, Inc.",13.46,14.1,-4.7548291233283715,Basic Industries
AMT,American Tower Corporation (REIT),213.9,157.4663,26.383216456287993,Consumer Services
AMX,"America Movil, S.A.B. de C.V.",13.32,14.25,-6.98198198198198,Public Utilities
AN,"AutoNation, Inc.",47.53,35.7,24.88954344624447,Consumer Durables
ANET,"Arista Networks, Inc.",230.95,210.7,8.768131630222992,Technology
ANF,Abercrombie & Fitch Company,16.81,19.6514,-16.903033908387865,Consumer Services
ANFI,Amira Nature Foods Ltd,0.6,0.42,30.0,Consumer Non-Durables
ANH,Anworth Mortgage Asset  Corporation,3.68,3.9131,-6.334239130434778,Consumer Services
ANTM,"Anthem, Inc.",283.62,261.187,7.9095268316761835,Health Care
AON,Aon plc,183.25,144.6264,21.076998635743525,Finance
AOS,A.O Smith Corporation,43.65,42.3365,3.009163802978231,Consumer Durables
AP,Ampco-Pittsburgh Corporation,3.5,3.1,11.428571428571425,Capital Goods
APA,Apache Corporation,23.25,25.8662,-11.252473118279568,Energy
APAM,Artisan Partners Asset Management Inc.,27.19,20.2852,25.394630378815748,Finance
APC,Anadarko Petroleum Corporation,73.1,43.3509,40.696443228454164,Energy
APD,"Air Products and Chemicals, Inc.",220.06,159.0737,27.713487230755245,Basic Industries
APH,Amphenol Corporation,86.21,80.8247,6.246723117967738,Capital Goods
APLE,"Apple Hospitality REIT, Inc.",14.85,13.8298,6.8700336700336635,Consumer Services
APO,"Apollo Global Management, LLC",31.43,23.7453,24.450206808781417,Finance
APRN,"Blue Apron Holdings, Inc.",7.83,1.02,86.97318007662835,Consumer Services
APTS,"Preferred Apartment Communities, Inc.",14.04,13.8336,1.4700854700854602,Consumer Services
APTV,Aptiv PLC,80.99,61.2282,24.400296332880597,Capital Goods
APU,"AmeriGas Partners, L.P.",33.09,23.8685,27.867935932305837,Consumer Services
AQ,Aquantia Corp.,13.14,8.77,33.25722983257231,Technology
AQN,Algonquin Power & Utilities Corp.,12.61,9.9368,21.199048374306102,Public Utilities
AQUA,Evoqua Water Technologies Corp.,12.9,9.6,25.581395348837216,Technology
AR,Antero Resources Corporation,4.39,9.39,-113.89521640091118,Energy
ARA,"American Renal Associates Holdings, Inc",6.99,11.52,-64.80686695278969,Health Care
ARC,"ARC Document Solutions, Inc.",1.82,2.05,-12.637362637362623,Consumer Services
ARCH,"Arch Coal, Inc.",77.19,82.1678,-6.4487627931079174,Energy
ARCO,Arcos Dorados Holdings Inc.,7.57,7.8431,-3.607661822985462,Consumer Services
ARD,Ardagh Group S.A.,16.83,10.8564,35.49376114081995,Consumer Durables
ARE,"Alexandria Real Estate Equities, Inc.",142.67,114.4579,19.774374430503958,Consumer Services
ARES,Ares Management Corporation,26.68,17.5446,34.24062968515742,Finance
ARI,Apollo Commercial Real Estate Finance,18.36,16.2462,11.513071895424824,Consumer Services
ARL,"American Realty Investors, Inc.",14.97,12.07,19.372077488309955,Finance
ARMK,Aramark,34.88,28.766,17.528669724770655,Consumer Services
ARNC,Arconic Inc.,23.56,16.7891,28.73896434634974,Capital Goods
AROC,"Archrock, Inc.",9.77,7.29,25.383828045035823,Public Utilities
ARR,"ARMOUR Residential REIT, Inc.",17.42,19.5513,-12.234787600459239,Consumer Services
ARW,"Arrow Electronics, Inc.",68.86,68.95,-0.13069997095556699,Technology
ASB,Associated Banc-Corp,20.09,19.4823,3.024888003982087,Finance
ASC,Ardmore Shipping Corporation,6.56,4.67,28.810975609756095,Transportation
ASGN,ASGN Incorporated,59.21,54.5,7.954737375443338,Technology
ASH,Ashland Global Holdings Inc.,74.87,70.4769,5.867637237878996,Consumer Durables
ASIX,AdvanSix Inc.,23.23,24.34,-4.778303917348254,Basic Industries
ASPN,"Aspen Aerogels, Inc.",6.2,2.13,65.64516129032259,Consumer Services
ASR,"Grupo Aeroportuario del Sureste, S.A. de C.V.",145.13,145.5044,-0.25797560807552433,Transportation
ASX,"ASE Technology Holding Co., Ltd.",4.25,3.75,11.76470588235294,Technology
AT,Atlantic Power Corporation,2.3,2.17,5.652173913043474,Energy
ATEN,"A10 Networks, Inc.",7.09,6.24,11.98871650211565,Technology
ATGE,Adtalem Global Education Inc.,44.42,47.32,-6.528590724898691,Consumer Services
ATH,Athene Holding Ltd.,38.93,39.83,-2.3118417672745917,Finance
